ticker,company_name,sector,domain,confidence,resolves,sources,cert_org_names,rdap_org,verdict
ELMD,"Electromed, Inc.",,electromed.com,0.9,True,ct_org_match|dns_guess,"Electromed Inc.|Electromed, Inc.",,
EMBC,Embecta Corp.,,embecta.com,0.9,True,ct_org_match|dns_guess,Embecta Corp.,,
EPAM,EPAM Systems,Information Technology,epam.com,0.9,True,ct_org_match|dns_guess,"EPAM Systems (Poland) sp. z o.o.|EPAM Systems Inc.|EPAM Systems, Inc.",,
EPR,EPR PROPERTIES,,eprkc.com,0.9,True,ct_org_match,EPR Properties,,
EQIX,Equinix,Real Estate,equinix.com,0.9,True,ct_org_match|dns_guess,"Equinix, Inc.",,
EQPT,EquipmentShare.com Inc,,equipmentshare.com,0.9,True,ct_org_match|dns_guess,EquipmentShare.com Inc,,
ESS,Essex Property Trust,Real Estate,cert-manager.com,0.9,True,ct_org_match,"Essex Property Trust, Inc.",,
EXOD,"Exodus Movement, Inc.",,exodus.com,0.9,True,ct_org_match|dns_guess,"Exodus Movement, Inc.",,
EXP,EAGLE MATERIALS INC,,eaglematerials.com,0.9,True,ct_org_match|dns_guess,Eagle Materials Inc,,
FATE,FATE THERAPEUTICS INC,,fatetherapeutics.com,0.9,True,ct_org_match|dns_guess,"FATE THERAPEUTICS, INC.",,
FIGS,"FIGS, Inc.",,wearfigs.com,0.9,True,ct_org_match,"FIGS, Inc.",,
FRPT,"Freshpet, Inc.",,freshpet.com,0.9,True,ct_org_match|dns_guess,"Freshpet, Inc.",,
GDRX,"GoodRx Holdings, Inc.",,goodrx.com,0.9,True,ct_org_match|dns_guess,"GoodRx Holdings, Inc.",,
GIB,CGI INC,,nj.gov,0.9,True,ct_org_match,CGI Inc,,
GLPI,"Gaming & Leisure Properties, Inc.",,glpropinc.com,0.9,True,ct_org_match,"Gaming and Leisure Properties, Inc.",,
GOLF,Acushnet Holdings Corp.,,titleist.com,0.9,True,ct_org_match,Acushnet Holdings Corp.,,
GPRO,"GoPro, Inc.",,gopro.com,0.9,True,ct_org_match|dns_guess,"GoPro, Inc.",,
GWRE,"Guidewire Software, Inc.",,cyence.net,0.9,True,ct_org_match,"Guidewire Software, Inc",,
HE,HAWAIIAN ELECTRIC INDUSTRIES INC,,hei.com,0.9,True,ct_org_match,"Hawaiian Electric Industries, Inc",,
HNST,"Honest Company, Inc.",,honest.com,0.9,True,ct_org_match|dns_guess,"The Honest Company, Inc.",,
HQI,"HireQuest, Inc.",,mrinetwork.com,0.9,True,ct_org_match,HireQuest Inc,,
HUMA,"Humacyte, Inc.",,humacyte.com,0.9,True,ct_org_match|dns_guess,"Humacyte, Inc",,
IBTA,"Ibotta, Inc.",,ibotta.com,0.9,True,ct_org_match|dns_guess,"IBOTTA, INC",,
IMOS,CHIPMOS TECHNOLOGIES INC,,chipmos.com,0.9,True,ct_org_match|dns_guess,CHIPMOS TECHNOLOGIES INC.|ChipMOS TECHNOLOGIES INC.|ChipMOS Technologies Inc.,,
IOSP,INNOSPEC INC.,,specialtyintermediates.com,0.9,True,ct_org_match,Innospec Inc.,,
IOT,Samsara Inc.,,samsara.com,0.85,True,ct_org_match|dns_guess,Samsara Networks Inc,,
IOVA,"IOVANCE BIOTHERAPEUTICS, INC.",,pa-icn.com,0.9,True,ct_org_match,"Iovance Biotherapeutics, Inc.",,
IPAR,INTERPARFUMS INC,,interparfums.com,0.85,True,ct_org_match|dns_guess,"Interparfums Luxury Brands, Inc.",,
JOB,GEE Group Inc.,,genp.com,0.9,True,ct_org_match,"GEE Group, Inc.",,
JXN,Jackson Financial Inc.,,jacksonfinancial.net,0.9,True,ct_org_match|dns_guess,"JACKSON FINANCIAL GROUP, INC|Jackson Financial Group, Inc.",,
JYNT,JOINT Corp,,thejoint.com,0.9,True,ct_org_match,The Joint Corp,,
KALV,"KalVista Pharmaceuticals, Inc.",,kalvista.com,0.9,True,ct_org_match|dns_guess,"KalVista Pharmaceuticals, Inc.",,
KE,"Kimball Electronics, Inc.",,kimballelectronics.com,0.9,True,ct_org_match|dns_guess,"Kimball Electronics, Inc.",,
KROS,"Keros Therapeutics, Inc.",,kerostx.com,0.9,True,ct_org_match,"Keros Therapeutics, Inc.",,
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",,kratosdefense.com,0.9,True,ct_org_match,"Kratos Defense & Security Solutions, Inc.",,
